Index,Value
0.0,78.0101898969159
1.0,78.01070923331143
2.0,78.02703739847186
3.0,78.0345706469607
4.0,78.08556628264682
5.0,78.10645212699222
6.0,78.11594933242861
7.0,78.11776537103108
8.0,78.13386365669344
9.0,78.13881222809525
10.0,78.14230209983802
11.0,78.14554616711597
12.0,78.14743081225795
13.0,78.16229601305
14.0,78.18440280110525
15.0,78.18700461437274
16.0,78.20311486700865
17.0,78.21576484184777
18.0,78.24611824280969
19.0,78.2614719713724
20.0,78.26243190044129
21.0,78.28202867763831
22.0,78.33168988170779
23.0,78.33984322964653
24.0,78.34250103931828
25.0,78.34993218901694
26.0,78.38399337224841
27.0,78.40260161993241
28.0,78.41113967975907
29.0,78.41268930888663
30.0,78.41516402795612
31.0,78.41836869162283
32.0,78.4297686700575
33.0,78.4300848535165
34.0,78.4454792440494
35.0,78.44894323810587
36.0,78.46679774867582
37.0,78.47692080073521
38.0,78.48502106461969
39.0,78.49792096295083
40.0,78.49933104846987
41.0,78.50000849476388
42.0,78.52604318333016
43.0,78.54724347653266
44.0,78.56305622652826
45.0,78.56870909613579
46.0,78.61322492580841
47.0,78.66661858245028
48.0,78.7131409760135
49.0,78.73908370709745
50.0,78.76058081290822
51.0,78.78865493706331
52.0,78.79361056729257
53.0,78.83638616704053
54.0,78.8460795141378
55.0,78.86052842598876
56.0,78.86606199795716
57.0,78.87959418888526
58.0,78.9445386760097
59.0,78.96421356172029
60.0,79.00764658892456
61.0,79.05984377083847
62.0,79.16449604005425
63.0,79.17514564892547
64.0,79.17952528477728
65.0,79.18175054671977
66.0,79.19171650791121
67.0,79.20087505117951
68.0,79.22526052976687
69.0,79.2378674586158
70.0,79.2517481167437
71.0,79.28730226454996
72.0,79.31427851751917
73.0,79.3389055467782
74.0,79.36492934981769
75.0,79.40771130517479
76.0,79.4511056350994
77.0,79.4526571577023
78.0,79.5184960142642
79.0,79.53957809434581
80.0,79.56453151541962
81.0,79.59402354642427
82.0,79.59721814159595
83.0,79.63971317260115
84.0,79.65213926665966
85.0,79.65285609959719
86.0,79.76976716223984
87.0,79.79608425439558
88.0,79.89672183075251
89.0,79.9134164552885
90.0,79.93115523998779
91.0,79.95502522322026
92.0,79.99963801953913
93.0,80.0529767100026
94.0,80.07128292131588
95.0,80.10213188844665
96.0,80.10369936549526
97.0,80.1129021058996
98.0,80.14282387529288
99.0,80.22179473406628
100.0,80.32629890378642
101.0,80.33110364509636
102.0,80.36017811215491
103.0,80.38574464103543
104.0,80.41054934678066
105.0,80.47012310226143
106.0,80.48693449863156
107.0,80.5030523363708
108.0,80.506018401336
109.0,80.58322144601236
110.0,80.5853767031402
111.0,80.68300462454954
112.0,80.70022984152801
113.0,80.74299633234335
114.0,80.76526517488658
115.0,80.77572297577898
116.0,80.79248204978684
117.0,81.01687072459175
118.0,81.02790694611913
119.0,81.0569874201193
120.0,81.05753438241122
121.0,81.10292512031687
122.0,81.14656088866444
123.0,81.15405806654708
124.0,81.17284594243951
125.0,81.20652036529358
126.0,81.2468002915673
127.0,81.25995509933927
128.0,81.28106098969364
129.0,81.2923300986355
130.0,81.31827687961436
131.0,81.3789180087162
132.0,81.40128581545487
133.0,81.43919132920222
134.0,81.46559696437976
135.0,81.50455304489245
136.0,81.5140162078985
137.0,81.52545842381826
138.0,81.53585145598683
139.0,81.61234188612887
140.0,81.61956042097444
141.0,81.6428589805431
142.0,81.80893565115481
143.0,81.8632070085012
144.0,81.87230979632353
145.0,81.88729362913305
146.0,81.94898989205538
147.0,82.01266769545651
148.0,82.06076233981835
149.0,82.10686115297995
150.0,82.11233287956694
151.0,82.17301686783874
152.0,82.19920326667378
153.0,82.225097110298
154.0,82.23641398814652
155.0,82.24085779270929
156.0,82.27178950476198
157.0,82.30896195623936
158.0,82.3469077026473
159.0,82.41062980558453
160.0,82.41073555211325
161.0,82.43899818470786
162.0,82.45450458442633
163.0,82.59733164406423
164.0,82.6021675072898
165.0,82.67596666382586
166.0,82.73213958212591
167.0,82.87418527482433
168.0,82.93293698943116
169.0,83.00472699526486
170.0,83.04899184100955
171.0,83.10366335195765
172.0,83.20827216884457
173.0,83.20913254117337
174.0,83.21139621889306
175.0,83.23653169097823
176.0,83.28998051950019
177.0,83.30930443554058
178.0,83.71900920205972
179.0,83.94709684358715
180.0,83.97436497306202
181.0,84.09396362624886
182.0,84.22148385256317
183.0,84.26349164590208
184.0,84.34273314306851
185.0,84.35259814780336
186.0,84.49471739613973
187.0,84.54131148216298
188.0,84.56376086184831
189.0,84.59883611363286
190.0,84.72020923938027
191.0,84.77574242745206
192.0,84.8014588959835
193.0,84.95821978285444
194.0,85.39580372311384
195.0,85.40779108418022
196.0,85.41411778849228
197.0,85.49936052864486
198.0,85.88685720230208
199.0,85.88982733198537
200.0,85.93452177586369
201.0,86.0082144602311
202.0,86.5424653710341
203.0,86.66533653885081
204.0,86.71702153761173
205.0,86.82484432767912
206.0,86.89595326083692
207.0,87.00445482563904
208.0,87.18929858602569
209.0,87.51461974039339
210.0,87.68179074516794
211.0,87.93156853906103
212.0,88.01452320683812
213.0,88.01946153272269
214.0,88.11836699157308
215.0,88.2379924758928
216.0,88.26120749838027
217.0,88.4047846214759
218.0,88.49474109688283
219.0,88.5848219446663
220.0,88.75889970627432
221.0,88.89430959964405
222.0,89.31433476028404
223.0,89.37705727123767
224.0,89.50684923257114
225.0,89.57269653977689
226.0,91.27420815069785
227.0,91.28099017413746
228.0,91.43752779370686
229.0,91.55890559039402
